launch_date,return_date,launch_date_clean,return_date_clean,launch_date2,return_date2,neg,launch_date_rev,return_date_rev
"March 11, 2008, 06:28:14 UTC","March 27, 2008, 00:40:41 UTC","March 11, 2008, 06:28:14","March 27, 2008, 00:40:41",1205216894,1206578441,FALSE,2008-03-11T06:28:14Z,2008-03-27T00:40:41Z
"March 11, 2008, 06:28:14 UTC","March 27, 2008, 00:40:41 UTC","March 11, 2008, 06:28:14","March 27, 2008, 00:40:41",1205216894,1206578441,FALSE,2008-03-11T06:28:14Z,2008-03-27T00:40:41Z
"March 11, 2008, 06:28:14 UTC","March 27, 2008, 00:40:41 UTC","March 11, 2008, 06:28:14","March 27, 2008, 00:40:41",1205216894,1206578441,FALSE,2008-03-11T06:28:14Z,2008-03-27T00:40:41Z
"March 11, 2008, 06:28:14 UTC","March 27, 2008, 00:40:41 UTC","March 11, 2008, 06:28:14","March 27, 2008, 00:40:41",1205216894,1206578441,FALSE,2008-03-11T06:28:14Z,2008-03-27T00:40:41Z
"March 11, 2008, 06:28:14 UTC","March 27, 2008, 00:40:41 UTC","March 11, 2008, 06:28:14","March 27, 2008, 00:40:41",1205216894,1206578441,FALSE,2008-03-11T06:28:14Z,2008-03-27T00:40:41Z
"March 11, 2008, 06:28:14 UTC","March 27, 2008, 00:40:41 UTC","March 11, 2008, 06:28:14","March 27, 2008, 00:40:41",1205216894,1206578441,FALSE,2008-03-11T06:28:14Z,2008-03-27T00:40:41Z
"March 15, 2009, 23:43 UTC","March 28, 2009, 19:13 UTC","March 15, 2009, 23:43","March 28, 2009, 19:13",1584264223,1585387153,FALSE,2020-03-15T09:23:43Z,2020-03-28T09:19:13Z
"March 15, 2009, 23:43 UTC","March 28, 2009, 19:13 UTC","March 15, 2009, 23:43","March 28, 2009, 19:13",1584264223,1585387153,FALSE,2020-03-15T09:23:43Z,2020-03-28T09:19:13Z
"March 15, 2009, 23:43 UTC","March 28, 2009, 19:13 UTC","March 15, 2009, 23:43","March 28, 2009, 19:13",1584264223,1585387153,FALSE,2020-03-15T09:23:43Z,2020-03-28T09:19:13Z
"March 15, 2009, 23:43 UTC","March 28, 2009, 19:13 UTC","March 15, 2009, 23:43","March 28, 2009, 19:13",1584264223,1585387153,FALSE,2020-03-15T09:23:43Z,2020-03-28T09:19:13Z
"March 15, 2009, 23:43 UTC","March 28, 2009, 19:13 UTC","March 15, 2009, 23:43","March 28, 2009, 19:13",1584264223,1585387153,FALSE,2020-03-15T09:23:43Z,2020-03-28T09:19:13Z
"March 15, 2009, 23:43 UTC","March 28, 2009, 19:13 UTC","March 15, 2009, 23:43","March 28, 2009, 19:13",1584264223,1585387153,FALSE,2020-03-15T09:23:43Z,2020-03-28T09:19:13Z
"15 November 2008, 00:55:39 UTC","March 28, 2009, 19:13 UTC","15 November 2008, 00:55:39","March 28, 2009, 19:13",1226710539,1585387153,FALSE,2008-11-15T00:55:39Z,2020-03-28T09:19:13Z
"March 22, 1982, 16:00:00 UTC","March 30, 1982, 16:04:45 UTC","March 22, 1982, 16:00:00","March 30, 1982, 16:04:45",385660800,386352285,FALSE,1982-03-22T16:00:00Z,1982-03-30T16:04:45Z
"March 22, 1982, 16:00:00 UTC","March 30, 1982, 16:04:45 UTC","March 22, 1982, 16:00:00","March 30, 1982, 16:04:45",385660800,386352285,FALSE,1982-03-22T16:00:00Z,1982-03-30T16:04:45Z
"February 28, 1990, 07:50:22 UTC","March 4, 1990, 18:08:44 UTC","February 28, 1990, 07:50:22","March 4, 1990, 18:08:44",636191422,636574124,FALSE,1990-02-28T07:50:22Z,1990-03-04T18:08:44Z
"February 28, 1990, 07:50:22 UTC","March 4, 1990, 18:08:44 UTC","February 28, 1990, 07:50:22","March 4, 1990, 18:08:44",636191422,636574124,FALSE,1990-02-28T07:50:22Z,1990-03-04T18:08:44Z
"February 28, 1990, 07:50:22 UTC","March 4, 1990, 18:08:44 UTC","February 28, 1990, 07:50:22","March 4, 1990, 18:08:44",636191422,636574124,FALSE,1990-02-28T07:50:22Z,1990-03-04T18:08:44Z
"February 28, 1990, 07:50:22 UTC","March 4, 1990, 18:08:44 UTC","February 28, 1990, 07:50:22","March 4, 1990, 18:08:44",636191422,636574124,FALSE,1990-02-28T07:50:22Z,1990-03-04T18:08:44Z
"February 28, 1990, 07:50:22 UTC","March 4, 1990, 18:08:44 UTC","February 28, 1990, 07:50:22","March 4, 1990, 18:08:44",636191422,636574124,FALSE,1990-02-28T07:50:22Z,1990-03-04T18:08:44Z
"February 24, 2011, 21:53:24 UTC","March 9, 2011, 16:58:14 UTC","February 24, 2011, 21:53:24","March 9, 2011, 16:58:14",1298584404,1299689894,FALSE,2011-02-24T21:53:24Z,2011-03-09T16:58:14Z
"February 24, 2011, 21:53:24 UTC","March 9, 2011, 16:58:14 UTC","February 24, 2011, 21:53:24","March 9, 2011, 16:58:14",1298584404,1299689894,FALSE,2011-02-24T21:53:24Z,2011-03-09T16:58:14Z
